Frequency (GHz), S1:1 (dB), S1:1 (rad)
3.596576445213877649e-01,-3.814127243033300544e-05,-8.103042805704736840e-02
3.628688734903287028e-01,-4.170060746046883921e-05,-8.175694767142219210e-02
3.660801024592696962e-01,-4.535982024389226838e-05,-8.248342698418896501e-02
3.692913314282106341e-01,-4.873161839515367908e-05,-8.320987633372493864e-02
3.725025603971515720e-01,-5.150055181678067645e-05,-8.393632168479846223e-02
3.757137893660925654e-01,-5.346623705646401012e-05,-8.466279992044448144e-02
3.789250183350335588e-01,-5.456723532721688858e-05,-8.538935275428294336e-02
3.821362473039744967e-01,-5.488288067561607208e-05,-8.611602017611059978e-02
3.853474762729154901e-01,-5.461315030242465439e-05,-8.684283440395658416e-02
3.885587052418563725e-01,-5.403971692698759309e-05,-8.756981528195663389e-02
3.917699342107973659e-01,-5.347442683821909031e-05,-8.829696790040747478e-02
3.949811631797383593e-01,-5.320409813894303147e-05,-8.902428289514435766e-02
3.981923921486792972e-01,-5.344198580240303866e-05,-8.975173941762028262e-02
4.014036211176202906e-01,-5.429577071514958607e-05,-9.047931022054644945e-02
4.046148500865612285e-01,-5.575909131398431375e-05,-9.120696779647165242e-02
4.078260790555021664e-01,-5.772866753515052172e-05,-9.193469018480156241e-02
4.110373080244431598e-01,-6.004292266195974573e-05,-9.266246505362780994e-02
4.142485369933840977e-01,-6.253223358529286257e-05,-9.339029102378013092e-02
4.174597659623250911e-01,-6.506726647331625101e-05,-9.411817588640675192e-02
4.206709949312660290e-01,-6.759165586436789892e-05,-9.484613221542617656e-02
4.238822239002069669e-01,-7.012906022754985462e-05,-9.557417165966841655e-02
4.270934528691479604e-01,-7.276169853408874359e-05,-9.630229967194946228e-02
4.303046818380889538e-01,-7.558604694451357493e-05,-9.703051241549058570e-02
4.335159108070298917e-01,-7.865897036132691298e-05,-9.775879703584045011e-02
4.367271397759708296e-01,-8.195173113013083199e-05,-9.848713551568498425e-02
4.399383687449117675e-01,-8.532842136563913778e-05,-9.921551120120863931e-02
4.431495977138527609e-01,-8.855919661066342257e-05,-9.994391613869080260e-02
4.463608266827937543e-01,-9.136866853844374434e-05,-1.006723569021828607e-01
4.495720556517346922e-01,-9.350870628223255485e-05,-1.014008568162936691e-01
4.527832846206756856e-01,-9.483605228387431728e-05,-1.021294533756205575e-01
4.559945135896166235e-01,-9.537152266517968306e-05,-1.028581910170879021e-01
4.592057425585575614e-01,-9.532071292467123144e-05,-1.035871108360271603e-01
4.624169715274985548e-01,-9.504567918496603543e-05,-1.043162399182348127e-01
4.656282004964394927e-01,-9.499062829549753499e-05,-1.050455833299326069e-01
4.688394294653804861e-01,-9.557843273313336918e-05,-1.057751212975719529e-01
4.720506584343214240e-01,-9.710465425456787794e-05,-1.065048128075715833e-01
4.752618874032623619e-01,-9.965848010276071576e-05,-1.072346050962319636e-01
4.784731163722033553e-01,-1.030942619900748026e-04,-1.079644467761251697e-01
4.816843453411443488e-01,-1.070643690728151462e-04,-1.086943011706461570e-01
4.848955743100852867e-01,-1.111072353577656306e-04,-1.094241561819127434e-01
4.881068032790262801e-01,-1.147685434607153095e-04,-1.101540278210693391e-01
4.913180322479671625e-01,-1.177231621291290216e-04,-1.108839562003750417e-01
4.945292612169081559e-01,-1.198640189332107693e-04,-1.116139948736383225e-01
4.977404901858491493e-01,-1.213323290193831053e-04,-1.123441963231728291e-01
5.009517191547900872e-01,-1.224794744783467128e-04,-1.130745975633507261e-01
5.041629481237310806e-01,-1.237699703609511240e-04,-1.138052098965802034e-01
5.073741770926719630e-01,-1.256518863144346124e-04,-1.145360157643837140e-01
5.105854060616129564e-01,-1.284308282867157062e-04,-1.152669736712354370e-01
5.137966350305539498e-01,-1.321831149855738424e-04,-1.159980298732584680e-01
5.170078639994949432e-01,-1.367330324931399809e-04,-1.167291335770078708e-01
5.202190929684359366e-01,-1.417009656947771572e-04,-1.174602513590845693e-01
5.234303219373768190e-01,-1.466089515758968312e-04,-1.181913767112722780e-01
5.266415509063178124e-01,-1.510136669737091445e-04,-1.189225319974758638e-01
5.298527798752586948e-01,-1.546289298541713331e-04,-1.196537622862074712e-01
5.330640088441996882e-01,-1.574028548871140697e-04,-1.203851228640029913e-01
5.362752378131406816e-01,-1.595280312280588839e-04,-1.211166640542182954e-01
5.394864667820815640e-01,-1.613826316856991445e-04,-1.218484177244217731e-01
5.426976957510225574e-01,-1.634204679354823585e-04,-1.225803893375125436e-01
5.459089247199635508e-01,-1.660427274187498896e-04,-1.233125577418890118e-01
5.491201536889045443e-01,-1.694890984925316113e-04,-1.240448825974884983e-01
5.523313826578455377e-01,-1.737797477818864517e-04,-1.247773170826714517e-01
5.555426116267864201e-01,-1.787240516425758275e-04,-1.255098219940150306e-01
5.587538405957274135e-01,-1.839917963367855699e-04,-1.262423769941175278e-01
5.619650695646684069e-01,-1.892238366852144933e-04,-1.269749856842473101e-01
5.651762985336094003e-01,-1.941475843088596889e-04,-1.277076730958675299e-01
5.683875275025502827e-01,-1.986616713576073252e-04,-1.284404765232191048e-01
5.715987564714911651e-01,-2.028639740631174495e-04,-1.291734326497262220e-01
