Frequency (GHz), G_r Theta Pol: Theta=90.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=90.0 & Phi=180.0 (dB), G_r Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=90.0 & Phi=180.0 (dB), G_r Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Theta Pol: Theta=45.0 & Phi=0.0 (dB), G_r Theta Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc - eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location), G_r Phi Pol: Theta=45.0 & Phi=0.0 (dB), G_r Phi Pol: Theta=45.0 & Phi=0.0 (rad of rEfar/Vinc- eEfar phase centered at ff origin & Vinc phase centered on fdtd grid port location)
1.660847622736265450e+01,-1.632761150001223127e+00,1.213124236463602568e+00,-1.774405140103285135e+02,1.600933453271009332e+00,-1.632678781443679172e+00,1.213132381194000686e+00,-1.327363428168798976e+02,-1.172662759627491447e+00,-5.681581974376944899e+00,-2.927950791063940184e+00,-1.509295866081368160e+02,-7.247826454559377352e-01
1.661168745633159460e+01,-1.634373717745368992e+00,1.212319268370111836e+00,-1.774144028915654019e+02,1.624129890976816926e+00,-1.634290463743023336e+00,1.212327378593857086e+00,-1.327128585007640140e+02,-1.177692613764516283e+00,-5.670613713015714374e+00,-2.928088179697095672e+00,-1.509058280148153983e+02,-7.304657281818339731e-01
1.661489868530053826e+01,-1.635987669642744446e+00,1.211513690397698628e+00,-1.772472263492662137e+02,1.640563329177059382e+00,-1.635903527167167137e+00,1.211521765378279047e+00,-1.326880821743492618e+02,-1.182690676227951432e+00,-5.659646177057950922e+00,-2.928227798319207764e+00,-1.508713166215006822e+02,-7.382618084796597202e-01
1.661810991426947837e+01,-1.637604663798159166e+00,1.210707327312436021e+00,-1.769999226719496050e+02,1.642723724596949486e+00,-1.637519629249491127e+00,1.210715366177673946e+00,-1.326620439644422049e+02,-1.187743352363129112e+00,-5.648681111520844844e+00,-2.928369823585979415e+00,-1.508374093948856967e+02,-7.484892606329688336e-01
1.662132114323842202e+01,-1.639226839161162852e+00,1.209900108424072585e+00,-1.767530294676122367e+02,1.628750035399867846e+00,-1.639140909066401974e+00,1.209908110146739268e+00,-1.326351676707282650e+02,-1.192921899845529321e+00,-5.637720752315436457e+00,-2.928514324744416530e+00,-1.508150121618035655e+02,-7.607340537338938002e-01
1.662453237220736213e+01,-1.640856347600958109e+00,1.209092079565240230e+00,-1.765756178265726817e+02,1.601725251300059716e+00,-1.640769519295187440e+00,1.209100042989780022e+00,-1.326081398437744667e+02,-1.198260720942982083e+00,-5.626767343619137662e+00,-2.928661251469311999e+00,-1.508114381316908066e+02,-7.740029264588673685e-01
1.662774360117630223e+01,-1.642494900547009085e+00,1.208283388708088602e+00,-1.765106100580191537e+02,1.567654511206506118e+00,-1.642407172625025780e+00,1.208291312615285440e+00,-1.325816993842619809e+02,-1.203747063366038539e+00,-5.615822671251748943e+00,-2.928810448999864757e+00,-1.508284704289077354e+02,-7.870215676934805282e-01
1.663095483014524234e+01,-1.644143435578232282e+00,1.207474249713726966e+00,-1.765718106850673053e+02,1.533733563126951971e+00,-1.644054807974940635e+00,1.207482132903255678e+00,-1.325564128601633058e+02,-1.209325141096012191e+00,-5.604887721586447213e+00,-2.928961695845572422e+00,-1.508619287754431184e+02,-7.985927326595527731e-01
1.663416605911418245e+01,-1.645801974332234963e+00,1.206664893850067921e+00,-1.767440619478264807e+02,1.507125077526933810e+00,-1.645712448005584916e+00,1.206672735215203129e+00,-1.325325036485035639e+02,-1.214913247108956984e+00,-5.593962539768804199e+00,-2.929114753970707863e+00,-1.509027780301093458e+02,-8.079363344812874326e-01
1.663737728808312255e+01,-1.647469692512310679e+00,1.205855521188397450e+00,-1.769832266870690773e+02,1.493725117967020566e+00,-1.647379268826654419e+00,1.205863319759485464e+00,-1.325097855818167432e+02,-1.220428590657972823e+00,-5.583046307924877105e+00,-2.929269418814544945e+00,-1.509396292637703709e+02,-8.149321063881269644e-01
