Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
2.247860278258673461e-01,-9.135399156292629996e+00,3.071654734851884117e-01,-5.652979813961684918e-01,-1.271066972013760177e+00,-4.446020471761628556e+01,1.095425876278675936e+00,-4.446115237868718140e+01,1.109581721525207509e+00
2.279972567948083118e-01,-9.109562532327046824e+00,2.904747033620675989e-01,-5.689056010105723038e-01,-1.287867277510734931e+00,-4.430546042368995074e+01,1.087396253350148667e+00,-4.430637908354753307e+01,1.101351784915888921e+00
2.312084857637492774e-01,-9.086941224449482490e+00,2.737975518411408515e-01,-5.720851286363877186e-01,-1.304654091988595610e+00,-4.415216290130652510e+01,1.079294962001897673e+00,-4.415305655522093531e+01,1.093055541616827053e+00
2.344197147326902431e-01,-9.067517185477028008e+00,2.571321061708932154e-01,-5.748312242790079019e-01,-1.321429324157008089e+00,-4.400027074861122145e+01,1.071121135664979684e+00,-4.400114376370322589e+01,1.084692030626004389e+00
2.376309437016311810e-01,-9.051276326678678430e+00,2.404764317414770092e-01,-5.771391029844523679e-01,-1.338194906098544745e+00,-4.384974513694068321e+01,1.062873870604767124e+00,-4.385060182369143433e+01,1.076260279167282841e+00
2.408421726705721744e-01,-9.038208492119963466e+00,2.238285754275063100e-01,-5.790045408700527085e-01,-1.354952791155342950e+00,-4.370054974581329077e+01,1.054552245585059778e+00,-4.370139390254949774e+01,1.067759303369866908e+00
2.440534016395131400e-01,-9.028307439785731248e+00,2.071865690088109668e-01,-5.804238794093512510e-01,-1.371704951769938452e+00,-4.355265064716026302e+01,1.046155342132138344e+00,-4.355348513404464939e+01,1.059188109056755200e+00
2.472646306084540779e-01,-9.021570828895452365e+00,1.905484324838861432e-01,-5.813940278036079379e-01,-1.388453377346180906e+00,-4.340601613785081270e+01,1.037682263071135758e+00,-4.340684253711404494e+01,1.050545692597082414e+00
2.504758595773950436e-01,-9.018000213433261081e+00,1.739121770651484988e-01,-5.819124634792303130e-01,-1.405200072204550565e+00,-4.326061652662032486e+01,1.029132147042227885e+00,-4.326143493909598448e+01,1.041831041768654931e+00
2.536870885463359815e-01,-9.017601042616949059e+00,1.572758076382018422e-01,-5.819772309872315308e-01,-1.421947053706220654e+00,-4.311642388832169814e+01,1.020504177014231351e+00,-4.311723290305749146e+01,1.033043136572801224e+00
2.568983175152769749e-01,-9.020382669779156259e+00,1.406373244835815439e-01,-5.815869398218220798e-01,-1.438696350610573438e+00,-4.297341180418335682e+01,1.011797581384470623e+00,-4.297420865906154575e+01,1.024180949945137309e+00
2.601095464842179683e-01,-9.026358371866797015e+00,1.239947241015673524e-01,-5.807407618915307879e-01,-1.455450001711127150e+00,-4.283155511072187238e+01,1.003011627041780596e+00,-4.283233603942660750e+01,1.015243448313907892e+00
2.633207754531589062e-01,-9.035545382407052628e+00,1.073459990490911176e-01,-5.794384295361630910e-01,-1.472210054765834331e+00,-4.269082968150685531e+01,9.941456047011296704e-01,-4.269159041821968259e+01,1.006229591972470416e+00
2.665320044220998441e-01,-9.047964941263140659e+00,9.068913679005703721e-02,-5.776802350567026290e-01,-1.488978565701484680e+00,-4.255121226471685247e+01,9.851988077976182590e-01,-4.255194865537383464e+01,9.971383352539110456e-01
2.697432333910407820e-01,-9.063642364735285284e+00,7.402211767117002073e-02,-5.754670326889985699e-01,-1.505757598031874256e+00,-4.241268039524567257e+01,9.761705071439340520e-01,-4.241338904590989500e+01,9.879686265225638975e-01
2.729544623599817754e-01,-9.082607139490852077e+00,5.734291225597475811e-02,-5.728002437912617095e-01,-1.522549222389832702e+00,-4.227521239323296243e+01,9.670599242947968133e-01,-4.227589127475475550e+01,9.787194080273464714e-01
2.761656913289227688e-01,-9.104893043390447360e+00,4.064947836897762207e-02,-5.696818657276978559e-01,-1.539355516039269345e+00,-4.213878745184417340e+01,9.578662070192539568e-01,-4.213943637757169824e+01,9.693896156926585794e-01
2.793769202978637067e-01,-9.130538295506269719e+00,2.393975830595838558e-02,-5.661144845313251794e-01,-1.556178562210392080e+00,-4.200338580677019706e+01,9.485884103734893991e-01,-4.200400670784674872e+01,9.599781789507726426e-01
2.825881492668047001e-01,-9.159585736530491573e+00,7.211676741467348654e-03,-5.621012909470093355e-01,-1.573020449094128637e+00,-4.186898896934829395e+01,9.392254865430772481e-01,-4.186958591021416254e+01,9.504840207415392594e-01
