Frequency (GHz), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 1 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (dB), A_e * |Z_spice|^2/Real(Z_spice) for spice port 2 - Vport/Einc phase center info: Vport (centered) port location & Einc location (rad)
4.881068084515213790e-01,-4.991013924712191141e+01,1.271283421645992728e+00,-4.991039944398123396e+01,1.277804622706859128e+00
4.945292664574624242e-01,-4.979620403050041944e+01,1.267511800756624840e+00,-4.979645629512648952e+01,1.273948132993348636e+00
5.009517244634035249e-01,-4.968372782520363273e+01,1.263738110269815307e+00,-4.968397304719354679e+01,1.270091546771746183e+00
5.073741824693445146e-01,-4.957267268898131363e+01,1.259962403997948677e+00,-4.957291237198170819e+01,1.266234867082249194e+00
5.137966404752856153e-01,-4.946300220438251927e+01,1.256184706721849231e+00,-4.946323834986891654e+01,1.262378097567877333e+00
5.202190984812267160e-01,-4.935468148784381981e+01,1.252405020024910609e+00,-4.935491639983010259e+01,1.258521242568385157e+00
5.266415564871678168e-01,-4.924767718439471764e+01,1.248623331340272147e+00,-4.924791321376246600e+01,1.254664307226162734e+00
5.330640144931089175e-01,-4.914195743784594583e+01,1.244839625394303262e+00,-4.914219669480679187e+01,1.250807297605701418e+00
5.394864724990499072e-01,-4.903749182900001102e+01,1.241053896834249048e+00,-4.903773589937966193e+01,1.246950220828406231e+00
5.459089305049910079e-01,-4.893425127829186749e+01,1.237266162543241954e+00,-4.893450098265504522e+01,1.243093085224793226e+00
5.523313885109321086e-01,-4.883220791399026695e+01,1.233476472020045289e+00,-4.883246314725462156e+01,1.239235900506390209e+00
5.587538465168730983e-01,-4.873133491218031565e+01,1.229684914268171170e+00,-4.873159459492565304e+01,1.235378677960001781e+00
5.651763045228143101e-01,-4.863160631961319780e+01,1.225891619914262876e+00,-4.863186848100218640e+01,1.231521430667361416e+00
5.715987625287552998e-01,-4.853299687451275446e+01,1.222096757749925766e+00,-4.853325887146123563e+01,1.227664173753654664e+00
5.780212205346962895e-01,-4.843548184295684678e+01,1.218300525529842915e+00,-4.843574070239952789e+01,1.223806924668898510e+00
5.844436785406373902e-01,-4.833903688899315654e+01,1.214503135602409412e+00,-4.833928974176954796e+01,1.219949703506772121e+00
5.908661365465784909e-01,-4.824363799487230864e+01,1.210704796716519649e+00,-4.824388255322502772e+01,1.216092533366199824e+00
5.972885945525195917e-01,-4.814926144359735360e+01,1.206905694044655197e+00,-4.814949646193700517e+01,1.212235440761812999e+00
6.037110525584605814e-01,-4.805588386959927050e+01,1.203105969988640167e+00,-4.805610952225088539e+01,1.208378456090387632e+00
6.101335105644017931e-01,-4.796348237526440528e+01,1.199305708597981690e+00,-4.796370048706418743e+01,1.204521614161485843e+00
6.165559685703427828e-01,-4.787203470206100775e+01,1.195504926358906594e+00,-4.787224877881235585e+01,1.200664954801863971e+00
