Frequency (GHz), S1:1 (dB), S1:1 (rad), S2:1 (dB), S2:1 (rad), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport1:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (dB), S_spiceport2:lumpedport1 * |Z_spice|^2/Real(Z_spice) (rad)
2.440534016395131400e-01,-9.028719262655611644e+00,2.071748463495446391e-01,-5.803995310513651029e-01,-1.371722460751691797e+00,-1.173133608971649799e+01,2.449784093518920791e+00,-3.404322129998347179e+01,9.549459773328234924e-01
2.472646306084540779e-01,-9.021992094186890299e+00,1.905366006973737980e-01,-5.813691073427209588e-01,-1.388471240600248402e+00,-1.170017812080451414e+01,2.439175285914114255e+00,-3.389867737649178281e+01,9.450051821975132826e-01
2.504758595773950436e-01,-9.018431129512674005e+00,1.739002841588974113e-01,-5.818869395541951262e-01,-1.405218309702955803e+00,-1.166774998016407316e+01,2.428505200299214017e+00,-3.375540282327720121e+01,9.349913826898066382e-01
2.536870885463359815e-01,-9.018041690161975765e+00,1.572638991126938945e-01,-5.819511149020291096e-01,-1.421965688033419273e+00,-1.163403849877408192e+01,2.417726761373076183e+00,-3.361336940386189553e+01,9.249035265834716357e-01
2.568983175152769749e-01,-9.020833007149214211e+00,1.406254377695985991e-01,-5.815602947351139473e-01,-1.438715405440745609e+00,-1.159917835457433988e+01,2.406792582398666003e+00,-3.347255050769478402e+01,9.147405761182484385e-01
2.601095464842179683e-01,-9.026818256761385939e+00,1.239828830056560194e-01,-5.807137079273622104e-01,-1.455469499853683901e+00,-1.156345113980060546e+01,2.395661193286045876e+00,-3.333292098555698146e+01,9.045015046847962870e-01
2.633207754531589062e-01,-9.036014610335678654e+00,1.073342088171403974e-01,-5.794111433246746934e-01,-1.472230015917696422e+00,-1.152726474586297734e+01,2.384303147542230050e+00,-3.319445699994768262e+01,8.941852892218674631e-01
2.665320044220998441e-01,-9.048443299660961614e+00,9.067738043955231309e-02,-5.776529425465126710e-01,-1.488999004110594049e+00,-1.149111378235935454e+01,2.372706191380032692e+00,-3.305713590291261283e+01,8.837908988175892100e-01
2.697432333910407820e-01,-9.064129699695286035e+00,7.401035422252384699e-02,-5.754399946180311920e-01,-1.505778520332648140e+00,-1.145552425946315900e+01,2.360878730718884988e+00,-3.292093615216408153e+01,8.733172805167443986e-01
2.729544623599817754e-01,-9.083103430206504569e+00,5.733107740373204197e-02,-5.727737339421499208e-01,-1.522570625909116515e+00,-1.142098798274107985e+01,2.348850982296071699e+00,-3.278583727320734198e+01,8.627633437781985215e-01
2.761656913289227688e-01,-9.105398477704646609e+00,4.063748797150436992e-02,-5.696561429837679880e-01,-1.539377387882265191e+00,-1.138789378320908341e+01,2.336673421689833052e+00,-3.265181987073842151e+01,8.521279453418872940e-01
2.793769202978637067e-01,-9.131053338650485074e+00,2.392751484114954627e-02,-5.660897607172923340e-01,-1.556200879412770632e+00,-1.135646370231784630e+01,2.324412416880219823e+00,-3.251886568719224613e+01,8.414098764018015375e-01
2.825881492668047001e-01,-9.160111184418973096e+00,7.199078587481424867e-03,-5.620776973894577866e-01,-1.573043180064285229e+00,-1.132670253779773617e+01,2.312143237920000427e+00,-3.238695770052576961e+01,8.306078539035905983e-01
2.857993782357455825e-01,-9.192620047919422888e+00,-9.549907030696400123e-03,-5.576236554997469064e-01,-1.589906375717108578e+00,-1.129836872737995890e+01,2.299940945939337844e+00,-3.225608024775870319e+01,8.197205174766578617e-01
2.890106072046865759e-01,-9.228633031193293590e+00,-2.632153255378102616e-02,-5.527319561503515333e-01,-1.606792557853962800e+00,-1.127097335462522842e+01,2.287869977237974695e+00,-3.212621915615108037e+01,8.087464329797628970e-01
2.922218361736275694e-01,-9.268208532812350242e+00,-4.311788917847365898e-02,-5.474075691381840025e-01,-1.623703821987342977e+00,-1.124381197708607871e+01,2.275973534860567415e+00,-3.199736186084127709e+01,7.976841029220113066e-01
2.954330651425685073e-01,-9.311410493584062920e+00,-5.994106395195846620e-02,-5.416561444387929525e-01,-1.640642265056041493e+00,-1.121603083752314767e+01,2.264264148104381924e+00,-3.186949748686238593e+01,7.865319831799374439e-01
2.986442941115095007e-01,-9.358308659037490429e+00,-7.679313388913272531e-02,-5.354840421637727665e-01,-1.657609981706748892e+00,-1.118672475316881432e+01,2.252716902512120090e+00,-3.174261687508677099e+01,7.752885045511658246e-01
3.018555230804504386e-01,-9.408978857508792260e+00,-9.367615923900075858e-02,-5.288983577533814540e-01,-1.674609059490143936e+00,-1.115505879904936215e+01,2.241266801428848154e+00,-3.161671253595174136e+01,7.639520968668221945e-01
3.050667520493913765e-01,-9.463503293444796682e+00,-1.105921762711880585e-01,-5.219069391793708101e-01,-1.691641573130328702e+00,-1.112040047320400049e+01,2.229811419294030372e+00,-3.149177852163257185e+01,7.525212127358823500e-01
3.082779810183323699e-01,-9.521970856841438291e+00,-1.275431900872499025e-01,-5.145183933377074359e-01,-1.708709578159261167e+00,-1.108244449162929079e+01,2.218219410043400952e+00,-3.136781021616652509e+01,7.409943476172228261e-01
