Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
1.868935279728851651e+00,-3.592228198752597734e+01,-1.612351026556755995e+00,-1.867866131467465891e+02,-2.440469538732400245e+00
1.888202653746674731e+00,-3.575145049501217898e+01,-1.614027898837091746e+00,-1.868468584367842595e+02,-2.513890043829022591e+00
1.907470027764498033e+00,-3.558266542691860934e+01,-1.615747776586059725e+00,-1.869154812635952112e+02,-2.587819251377805774e+00
1.926737401782321113e+00,-3.541589853887379036e+01,-1.617511174024497844e+00,-1.869892046335787086e+02,-2.662664204044760119e+00
1.946004775800144415e+00,-3.525112301106628365e+01,-1.619318592331982609e+00,-1.870657656537540845e+02,-2.738928055392068739e+00
1.965272149817967717e+00,-3.508831338520336374e+01,-1.621170511944298731e+00,-1.871441044726530265e+02,-2.817138276261368812e+00
1.984539523835790797e+00,-3.492744547764965546e+01,-1.623067387067031353e+00,-1.872242549099801181e+02,-2.897770187219529170e+00
2.003806897853614100e+00,-3.476849628209032517e+01,-1.625009643520060942e+00,-1.873069616503929069e+02,-2.981181888912438627e+00
2.023074271871437180e+00,-3.461144387780473153e+01,-1.626997680094564913e+00,-1.873931154376749078e+02,-3.067572741953792814e+00
2.042341645889260704e+00,-3.445626735797151241e+01,-1.629031872656309554e+00,-1.874831328359024667e+02,3.126214682804818956e+00
2.061609019907083784e+00,-3.430294678695240407e+01,-1.631112579518635863e+00,-1.875764054848956732e+02,3.033939126434801903e+00
2.080876393924906864e+00,-3.415146318780692525e+01,-1.633240146316155439e+00,-1.876709166019569466e+02,2.939037936359174541e+00
2.100143767942730388e+00,-3.400179855349711033e+01,-1.635414908799206923e+00,-1.877630863769161635e+02,2.841839905650338505e+00
2.119411141960553469e+00,-3.385393586942686284e+01,-1.637637192573193623e+00,-1.878478737749602203e+02,2.742702425301158264e+00
2.138678515978376549e+00,-3.370785913260952782e+01,-1.639907309651408074e+00,-1.879191314895522282e+02,2.641969530743508265e+00
2.157945889996199629e+00,-3.356355335438138354e+01,-1.642225552542148526e+00,-1.879701788745289832e+02,2.539943345179553003e+00
2.177213264014022709e+00,-3.342100453861989706e+01,-1.644592187223512969e+00,-1.879945214098147233e+02,2.436874156519698520e+00
2.196480638031846233e+00,-3.328019963442970663e+01,-1.647007446610642134e+00,-1.879866088349958488e+02,2.332971126575023035e+00
2.215748012049669313e+00,-3.314112646929747541e+01,-1.649471525935410687e+00,-1.879425003461366828e+02,2.228431019845123373e+00
2.235015386067492393e+00,-3.300377367391148198e+01,-1.651984580900626609e+00,-1.878603097248773395e+02,2.123477325588560838e+00
2.254282760085315918e+00,-3.286813061186234108e+01,-1.654546728700237335e+00,-1.877403435232294271e+02,2.018398622375463525e+00
2.273550134103138998e+00,-3.273418732584656254e+01,-1.657158051226285567e+00,-1.875849130490286996e+02,1.913574767171278612e+00
2.292817508120962078e+00,-3.260193450732059262e+01,-1.659818599218495505e+00,-1.873978735505522479e+02,1.809482864883433795e+00
2.312084882138785158e+00,-3.247136349014252232e+01,-1.662528395898388967e+00,-1.871839973479385151e+02,1.706680590084542315e+00
2.331352256156608682e+00,-3.234246626235892563e+01,-1.665287438813743748e+00,-1.869483081879114934e+02,1.605769985242885056e+00
2.350619630174431762e+00,-3.221523548565414785e+01,-1.668095699140238919e+00,-1.866954934644122091e+02,1.507348557213302076e+00
2.369887004192254842e+00,-3.208966451027167466e+01,-1.670953118396105275e+00,-1.864294805723583295e+02,1.411955886650434033e+00
2.389154378210078367e+00,-3.196574737481884299e+01,-1.673859603227227044e+00,-1.861532257880560337e+02,1.320023725744773557e+00
2.408421752227901447e+00,-3.184347878475443494e+01,-1.676815019426549203e+00,-1.858687260373331185e+02,1.231836636658446782e+00
2.427689126245724527e+00,-3.172285406928230245e+01,-1.679819186532476083e+00,-1.855772280063217465e+02,1.147509089929373394e+00
2.446956500263548051e+00,-3.160386912220054612e+01,-1.682871874166569359e+00,-1.852795761625617672e+02,1.066983380735753384e+00
2.466223874281371131e+00,-3.148652033642661863e+01,-1.685972800780700886e+00,-1.849766149155865662e+02,9.900501699220938256e-01
2.485491248299194211e+00,-3.137080454335770341e+01,-1.689121634827653873e+00,-1.846695476756703442e+02,9.163896688396847567e-01
2.504758622317017736e+00,-3.125671896661958371e+01,-1.692317997727714518e+00,-1.843601647770251191e+02,8.456270637190310691e-01
2.524025996334840816e+00,-3.114426119561867168e+01,-1.695561467549044021e+00,-1.840508852684127703e+02,7.773921417831729519e-01
2.543293370352663896e+00,-3.103342917881856877e+01,-1.698851582169063734e+00,-1.837446066303263592e+02,7.113717816656092152e-01
2.562560744370487420e+00,-3.092422123132837086e+01,-1.702187840870501567e+00,-1.834444057551626202e+02,6.473457112620715215e-01
2.581828118388310500e+00,-3.081663604764675668e+01,-1.705569703790470015e+00,-1.831531680875574750e+02,5.852001096965757654e-01
2.601095492406133580e+00,-3.071067270922267411e+01,-1.708996589252060661e+00,-1.828732316291664404e+02,5.249187022555861226e-01
2.620362866423956660e+00,-3.060633067812685582e+01,-1.712467869597206205e+00,-1.826061207979709877e+02,4.665554127909153359e-01
2.639630240441780185e+00,-3.050360977207222035e+01,-1.715982866548892982e+00,-1.823524203704805586e+02,4.101955325120658635e-01
2.658897614459603265e+00,-3.040251012115660600e+01,-1.719540847254101612e+00,-1.821118104542162541e+02,3.559136541775964058e-01
2.678164988477426345e+00,-3.030303211161963972e+01,-1.723141021969711417e+00,-1.818832545669283718e+02,3.037366080648863376e-01
2.697432362495249869e+00,-3.020517632528416740e+01,-1.726782543910215573e+00,-1.816653062291399863e+02,2.536185529737129962e-01
2.716699736513072949e+00,-3.010894348431972745e+01,-1.730464511203907430e+00,-1.814564766054215568e+02,2.054332212218951681e-01
2.735967110530896029e+00,-3.001433440931375074e+01,-1.734185970360408779e+00,-1.812555905428085907e+02,1.589850604902398046e-01
2.755234484548719553e+00,-2.992134999487280922e+01,-1.737945920283094026e+00,-1.810620567034969781e+02,1.140369754873130775e-01
2.774501858566542634e+00,-2.982999120216438271e+01,-1.741743315760825972e+00,-1.808759937493506129e+02,7.034843018621500521e-02
2.793769232584365714e+00,-2.974025906327232249e+01,-1.745577069565218409e+00,-1.806981873232219016e+02,2.771505434847188962e-02
2.813036606602189238e+00,-2.965215468919695851e+01,-1.749446052704172638e+00,-1.805298932428346461e+02,-1.399942011301818535e-02
2.832303980620012318e+00,-2.956567927257428252e+01,-1.753349092919916918e+00,-1.803725382406223616e+02,-5.484594180960862542e-02
2.851571354637835398e+00,-2.948083407787363441e+01,-1.757284972022485459e+00,-1.802273902563446484e+02,-9.479090415217054921e-02
2.870838728655658922e+00,-2.939762041545535354e+01,-1.761252422982254817e+00,-1.800952719620311200e+02,-1.337339631444002808e-01
