Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
4.990249870616211503e+00,-2.924702091011198846e+01,-2.041298402867769202e+00,-1.671558235243082606e+02,-8.012604756502620384e-01
5.009517244634035471e+00,-2.931582674775181019e+01,-2.040136996011820525e+00,-1.670630416733773416e+02,-8.149898300040371302e-01
5.028784618651858551e+00,-2.938591843002602033e+01,-2.038875132329197815e+00,-1.669722899999402728e+02,-8.287484353745873111e-01
5.048051992669681631e+00,-2.945730885512155695e+01,-2.037510908863239045e+00,-1.668836890728236710e+02,-8.425339123794783891e-01
5.067319366687504711e+00,-2.953001142736024676e+01,-2.036042309263937256e+00,-1.667973343317667911e+02,-8.563350656639718839e-01
5.086586740705327792e+00,-2.960404005962767471e+01,-2.034467197708147879e+00,-1.667132617266032355e+02,-8.701345670945336286e-01
5.105854114723150872e+00,-2.967940917401486089e+01,-2.032783311989515784e+00,-1.666314293266880782e+02,-8.839131928125937288e-01
5.125121488740974840e+00,-2.975613369827432209e+01,-2.030988255864282443e+00,-1.665517192826550286e+02,-8.976545167691191152e-01
5.144388862758797920e+00,-2.983422905644387058e+01,-2.029079490854822865e+00,-1.664739593507323718e+02,-9.113488660436085409e-01
5.163656236776621000e+00,-2.991371115314990092e+01,-2.027054327767743747e+00,-1.663979582843815308e+02,-9.249955435430058381e-01
5.182923610794444080e+00,-2.999459635234245880e+01,-2.024909918162275613e+00,-1.663235459526177067e+02,-9.386027703958582658e-01
5.202190984812267160e+00,-3.007690145219455857e+01,-2.022643245912866039e+00,-1.662506079142484623e+02,-9.521853832944465745e-01
5.221458358830090241e+00,-3.016064365834050065e+01,-2.020251118872002039e+00,-1.661791056644439948e+02,-9.657608948507229174e-01
5.240725732847913321e+00,-3.024584055740479371e+01,-2.017730160492632763e+00,-1.661090775109031199e+02,-9.793449399881266615e-01
5.259993106865737289e+00,-3.033251009193397962e+01,-2.015076801153918407e+00,-1.660406200602115234e+02,-9.929472794770098920e-01
5.279260480883560369e+00,-3.042067053660739973e+01,-2.012287268880701863e+00,-1.659738552732436858e+02,-1.006569375203685723e+00
5.298527854901383449e+00,-3.051034047429532237e+01,-2.009357579170659047e+00,-1.659088916765004740e+02,-1.020204135841704218e+00
5.317795228919206529e+00,-3.060153876949900464e+01,-2.006283523737022012e+00,-1.658457896823088618e+02,-1.033837869751933036e+00
5.337062602937029610e+00,-3.069428453621665298e+01,-2.003060658113528181e+00,-1.657845397866570067e+02,-1.047453921365442797e+00
5.356329976954852690e+00,-3.078859709745468720e+01,-1.999684288213997574e+00,-1.657250590452445067e+02,-1.061037048353466572e+00
5.375597350972676658e+00,-3.088449593438275187e+01,-1.996149456051800497e+00,-1.656672065576119337e+02,-1.074577419628520492e+00
5.394864724990499738e+00,-3.098200062428726298e+01,-1.992450924873563789e+00,-1.656108138793891271e+02,-1.088073218399129738e+00
5.414132099008322818e+00,-3.108113076767750371e+01,-1.988583163933091758e+00,-1.655557225155700962e+02,-1.101531193096460415e+00
