Frequency (GHz), Theta Pol: Theta=90.0 & Phi=180.0 (dBsm), Theta Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin), Phi Pol: Theta=90.0 & Phi=180.0 (dBsm), Phi Pol: Theta=90.0 & Phi=180.0 (rad of rEfar/Einc - phase centered at ff origin)
4.277357031956753097e+00,-2.753497229760977305e+01,-2.024057552892942535e+00,-1.718714511579009638e+02,-3.160567990285657047e-01
4.296624405974576177e+00,-2.756052641522999735e+01,-2.025911101917066137e+00,-1.716629332398842678e+02,-3.264754088897774409e-01
4.315891779992399258e+00,-2.758724935470181450e+01,-2.027693168413366109e+00,-1.714591432455605968e+02,-3.371546629425397623e-01
4.335159154010222338e+00,-2.761513584610034755e+01,-2.029403310194518806e+00,-1.712595749443727584e+02,-3.480617624220896933e-01
4.354426528028045418e+00,-2.764418098886367048e+01,-2.031041095724991585e+00,-1.710637673670546803e+02,-3.591920177179170892e-01
4.373693902045868498e+00,-2.767438026578058086e+01,-2.032606103276816345e+00,-1.708714068989188490e+02,-3.705619126336298086e-01
4.392961276063692466e+00,-2.770572956136843956e+01,-2.034097919628524487e+00,-1.706823859471413698e+02,-3.821976311391927505e-01
4.412228650081515546e+00,-2.773822518221093603e+01,-2.035516138083892645e+00,-1.704968056315570948e+02,-3.941221056738969386e-01
4.431496024099338626e+00,-2.777186387617694763e+01,-2.036860355758215224e+00,-1.703149246503885763e+02,-4.063438939189660259e-01
4.450763398117161707e+00,-2.780664284762735505e+01,-2.038130170265295860e+00,-1.701370699989536490e+02,-4.188505711770193485e-01
4.470030772134984787e+00,-2.784255976668788080e+01,-2.039325176088271352e+00,-1.699635339875132729e+02,-4.316080476439209668e-01
4.489298146152807867e+00,-2.787961277216193068e+01,-2.040444960990988488e+00,-1.697944840452463495e+02,-4.445656662363810518e-01
4.508565520170631835e+00,-2.791780046927595649e+01,-2.041489102803841327e+00,-1.696299071699436922e+02,-4.576655231108315847e-01
4.527832894188454915e+00,-2.795712192475337687e+01,-2.042457166804606317e+00,-1.694696013011628679e+02,-4.708535067830644794e-01
4.547100268206277995e+00,-2.799757666234888731e+01,-2.043348703741031613e+00,-1.693132139661431097e+02,-4.840892511551278532e-01
4.566367642224101075e+00,-2.803916466176898936e+01,-2.044163248354570417e+00,-1.691603170757598491e+02,-4.973525683789548624e-01
4.585635016241924156e+00,-2.808188636290916307e+01,-2.044900318114014404e+00,-1.690104982619078271e+02,-5.106448616673570085e-01
4.604902390259747236e+00,-2.812574267581846854e+01,-2.045559411794787064e+00,-1.688634455510501766e+02,-5.239852956170824028e-01
4.624169764277570316e+00,-2.817073499516807189e+01,-2.046140007564148711e+00,-1.687190043514684135e+02,-5.374028180270362665e-01
4.643437138295394284e+00,-2.821686521669029091e+01,-2.046641560348372746e+00,-1.685771932093205976e+02,-5.509261512192306087e-01
